ROI,Sample,Group
20171228_spleen315_500x500_editedforFAS_s1_p9_r2_a2_ac,01,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r4_a4_ac,02,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r6_a6_ac,03,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r8_a8_ac,04,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r10_a10_ac,05,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r12_a12_ac,06,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r14_a14_ac,07,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r16_a16_ac,08,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r18_a18_ac,09,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r20_a20_ac,10,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r22_a22_ac,11,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r24_a24_ac,12,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r26_a26_ac,13,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r28_a28_ac,14,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r30_a30_ac,15,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r32_a32_ac,16,B
