ROI,Sample,Group
20171228_spleen315_500x500_editedforFAS_s1_p9_r2_a2_ac,r2,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r4_a4_ac,r4,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r6_a6_ac,r7,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r8_a8_ac,r8,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r10_a10_ac,r10,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r12_a12_ac,r12,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r14_a14_ac,r14,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r16_a16_ac,r16,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r18_a18_ac,r18,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r20_a20_ac,r20,A
20171228_spleen315_500x500_editedforFAS_s1_p9_r22_a22_ac,r22,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r24_a24_ac,r24,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r26_a26_ac,r26,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r28_a28_ac,r28,B
20171228_spleen315_500x500_editedforFAS_s1_p9_r30_a30_ac,r30,A
